Category,2022 Total
INCOME,******
Deposit,2725501.74
[Credit Card 2287],0.00
[Checking 0013],11006.41
Refund,102.08
[Checking 4926],10300.00
Other Inc,0.00
[Credit Card 0074],0.00
TOTAL INCOME,2746910.23
EXPENSES,******
Withdrawals,950.00
Loan,46975.50
PAYROLL FEES,1462.54
Equipment Rental,45743.34
Credit Card Payment,2971.12
Bank Charge,43606.85
Insurance,103572.91
Esdron Batista,5800.00
[Checking 4926],4800.00
Osha,17636.59
Construction Supplies,51813.37
Storage,1189.61
Prof and Legal Fees,5000.00
Business Taxes & Licenses,4488.22
Auto & Transportation,34017.82
Subcontractors,2211418.00
Transfer,350.00
[Checking 0013],10300.00
Personal,3198.37
Office,335.57
Accounting,4532.00
[Credit Card 0074],6206.41
TOTAL EXPENSES,2609853.64
OVERALL TOTAL,137056.59
